Hist,Red,Green,Blue
0,0,2,2
1,0,0,0
2,1,0,0
3,1,0,0
4,0,0,0
5,0,0,0
6,0,1,1
7,0,1,1
8,0,0,0
9,0,0,0
10,1,1,1
11,0,0,0
12,2,2,2
13,1,2,2
14,2,3,3
15,3,6,6
16,6,3,3
17,2,5,5
18,4,8,8
19,5,4,4
20,5,12,12
21,2,8,8
22,11,9,9
23,5,18,18
24,16,22,22
25,9,10,10
26,16,30,30
27,19,36,36
28,31,27,27
29,10,17,17
30,16,24,24
31,19,36,36
32,14,41,41
33,33,61,61
34,22,81,81
35,28,103,103
36,22,112,112
37,45,150,150
38,94,217,217
39,97,222,222
40,75,273,273
41,134,312,312
42,182,438,438
43,240,394,394
44,110,419,419
45,202,382,382
46,178,396,396
47,146,397,397
48,204,387,387
49,155,353,353
50,116,341,341
51,98,379,379
52,143,380,380
53,165,437,437
54,105,342,342
55,146,369,369
56,204,351,351
57,212,365,365
58,141,319,319
59,231,407,407
60,228,342,342
61,204,288,288
62,298,276,276
63,226,232,232
64,217,273,273
65,217,269,269
66,294,324,324
67,292,297,297
68,256,262,262
69,267,254,254
70,271,243,243
71,348,219,219
72,293,203,203
73,346,252,252
74,383,250,250
75,436,233,233
76,544,287,287
77,437,308,308
78,566,307,307
79,489,363,363
80,676,357,357
81,695,329,329
82,656,402,402
83,627,317,317
84,648,387,387
85,853,549,549
86,866,533,533
87,805,476,476
88,658,740,740
89,814,760,760
90,830,717,717
91,865,659,659
92,636,983,983
93,852,1002,1002
94,1144,638,638
95,857,785,785
96,1143,682,682
97,808,602,602
98,903,658,658
99,845,643,643
100,837,633,633
101,902,440,440
102,1023,478,478
103,840,479,479
104,894,441,441
105,990,400,400
106,903,375,375
107,568,347,347
108,595,311,311
109,741,312,312
110,711,331,331
111,492,314,314
112,579,325,325
113,535,331,331
114,515,332,332
115,474,294,294
116,397,288,288
117,253,307,307
118,398,284,284
119,372,338,338
120,264,326,326
121,242,269,269
122,263,300,300
123,278,332,332
124,236,316,316
125,230,359,359
126,161,405,405
127,187,426,426
128,198,396,396
129,216,423,423
130,175,473,473
131,194,587,587
132,167,466,466
133,207,445,445
134,201,455,455
135,185,450,450
136,172,416,416
137,183,478,478
138,257,498,498
139,214,568,568
140,193,611,611
141,210,613,613
142,212,642,642
143,242,631,631
144,198,602,602
145,175,537,537
146,196,547,547
147,215,508,508
148,261,444,444
149,205,450,450
150,197,483,483
151,195,433,433
152,246,411,411
153,286,447,447
154,176,308,308
155,174,304,304
156,145,274,274
157,165,233,233
158,182,219,219
159,137,213,213
160,117,178,178
161,143,167,167
162,153,161,161
163,146,152,152
164,120,168,168
165,149,170,170
166,114,171,171
167,130,166,166
168,125,161,161
169,128,148,148
170,117,146,146
171,112,185,185
172,128,152,152
173,109,182,182
174,112,175,175
175,99,209,209
176,127,193,193
177,140,200,200
178,120,224,224
179,107,204,204
180,97,222,222
181,125,209,209
182,146,246,246
183,133,254,254
184,129,250,250
185,139,246,246
186,125,256,256
187,158,242,242
188,125,293,293
189,124,283,283
190,113,262,262
191,150,284,284
192,124,262,262
193,117,303,303
194,116,316,316
195,128,342,342
196,151,308,308
197,145,302,302
198,114,291,291
199,141,287,287
200,127,284,284
201,151,259,259
202,146,236,236
203,131,247,247
204,148,228,228
205,110,226,226
206,155,215,215
207,165,159,159
208,111,148,148
209,153,162,162
210,159,140,140
211,175,127,127
212,137,121,121
213,149,117,117
214,157,133,133
215,129,109,109
216,176,106,106
217,183,97,97
218,157,109,109
219,149,110,110
220,184,98,98
221,230,103,103
222,204,92,92
223,251,102,102
224,253,85,85
225,250,89,89
226,221,70,70
227,275,75,75
228,300,78,78
229,236,71,71
230,302,49,49
231,261,62,62
232,242,49,49
233,277,58,58
234,226,33,33
235,234,31,31
236,219,51,51
237,222,48,48
238,225,46,46
239,218,43,43
240,235,44,44
241,182,26,26
242,218,25,25
243,215,32,32
244,189,27,27
245,221,24,24
246,173,26,26
247,175,35,35
248,211,26,26
249,162,20,20
250,181,29,29
251,185,23,23
252,206,27,27
253,239,18,18
254,183,24,24
255,1886,420,420
